01  CENTRO**01-03 CORTES**Línea**2**-3.6960673**40.4136976**LOPE DE VEGA, CALLE, DE,37
01  CENTRO**01-03 CORTES**Línea**1**-3.6963426**40.4176674**LOS MADRAZO, CALLE, DE,19
01  CENTRO**01-03 CORTES**Línea**1**-3.6962061**40.417957**MARQUES DE CASA RIERA, CALLE, DEL,4
01  CENTRO**01-03 CORTES**Línea**1**-3.6959166**40.4159905**MARQUES DE CUBAS, CALLE, DEL,27
01  CENTRO**01-03 CORTES**Línea**2**-3.6977245**40.4151498**PRADO, CALLE, DEL,24
01  CENTRO**01-03 CORTES**Línea**1**-3.6976628**40.4142234**QUEVEDO, CALLE, DE,1
01  CENTRO**01-03 CORTES**Línea**1**-3.6968487**40.4149315**SAN AGUSTIN, CALLE, DE,5
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6951578**40.4225607**ALMIRANTE, CALLE, DEL,3
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6923524**40.4224961**ALMIRANTE, CALLE, DEL,29
01  CENTRO**01-04 JUSTICIA**Línea**2**-3.6994438**40.4274228**APODACA, CALLE, DE,15
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6952689**40.4248621**ARGENSOLA, CALLE, DE,3
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6944994**40.4258948**ARGENSOLA, CALLE, DE,19
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6982748**40.4223756**AUGUSTO FIGUEROA, CALLE, DE,29
01  CENTRO**01-04 JUSTICIA**Batería**1**-3.6933461**40.4235515**BARBARA DE BRAGANZA, CALLE, DE,6
01  CENTRO**01-04 JUSTICIA**Batería**1**-3.6931309**40.4235014**BARBARA DE BRAGANZA, CALLE, DE,8
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6995398**40.4269133**BARCELO, CALLE, DE,11
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.695614**40.419219**BARQUILLO, CALLE, DEL,1
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6957025**40.4206608**BARQUILLO, CALLE, DEL,9
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6957014**40.4215424**BARQUILLO, CALLE, DEL,15
01  CENTRO**01-04 JUSTICIA**Línea**2**-3.6967525**40.4242879**BELEN, CALLE, DE,5
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6953334**40.4264866**CAMPOAMOR, CALLE, DE,16
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.7007697**40.4270039**CHURRUCA, CALLE, DE,5
01  CENTRO**01-04 JUSTICIA**Línea**2**-3.7013525**40.4285109**CHURRUCA, CALLE, DE,27
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6994091**40.4202282**CLAVEL, CALLE, DEL,6
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.7019348**40.4280701**FUENCARRAL, CALLE, DE,100
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6938063**40.4257251**GENERAL CASTAÑOS, CALLE, DEL,11
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.7000834**40.4217363**HORTALEZA, CALLE, DE,23
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6994457**40.4226143**HORTALEZA, CALLE, DE,43
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6989207**40.4233275**HORTALEZA, CALLE, DE,57
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6988082**40.423501**HORTALEZA, CALLE, DE,61
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6969996**40.4224107**LIBERTAD, CALLE, DE LA,35
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6921409**40.4255986**MARQUES DE LA ENSENADA, CALLE, DEL,3
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.693753**40.4230162**MARQUES DE MONASTERIO, CALLE, DEL,4
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6970798**40.4246005**PELAYO, CALLE, DE,68
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6964936**40.4252383**PELAYO, CALLE, DE,84
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.696475**40.4211609**SAN MARCOS, CALLE, DE,43
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.699715**40.4245166**SANTA BRIGIDA, CALLE, DE,10
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.696506**40.4262643**SANTA TERESA, CALLE, DE,2
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6955497**40.4256376**SANTA TERESA, CALLE, DE,10
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6978537**40.4272875**SERRANO ANGUITA, CALLE, DE,10
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6991034**40.4280591**SERRANO ANGUITA, CALLE, DE,18
01  CENTRO**01-04 JUSTICIA**Línea**1**-3.6981422**40.4201866**VICTOR HUGO, CALLE, DE,5
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7078534**40.4292621**ACUERDO, CALLE, DEL,37
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.707696**40.4295933**ACUERDO, CALLE, DEL,38
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.709468**40.4271907**AMANIEL, CALLE, DE,S/N
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.707954**40.4234959**ANTONIO GRILO, CALLE, DE,8
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7091765**40.4245254**CONDE DE TORENO, PLAZA, DEL,5
